order_id,customer_id,store_id,employee_id,order_date,order_status,channel,payment_method,shipping_city,shipping_state,shipping_country,shipping_cost,total_amount
70,6300,,38,2023-08-12,Completed,Online,Debit Card,Chandigarh,Chandigarh,India,407.53,220235.73
71,2744,,17,2023-08-08,Completed,Online,Credit Card,Lucknow,Uttar Pradesh,India,203.01,168510.13
72,544,14.0,65,2024-04-13,Cancelled,Store,Credit Card,Raipur,Chhattisgarh,India,272.32,235727.54
73,6750,,24,2025-07-04,Completed,Online,Debit Card,Chennai,Tamil Nadu,India,205.26,238370.29
74,3160,,37,2025-12-08,Cancelled,Online,Credit Card,Mumbai,Maharashtra,India,449.56,533786.51
75,711,,55,2023-06-30,Completed,Online,Cash on Delivery,Guwahati,Assam,India,282.69,173567.86
76,6261,3.0,25,2024-10-30,Completed,Store,UPI,Kochi,Kerala,India,384.23,203688.37
77,9369,9.0,81,2024-02-21,Completed,Store,Credit Card,Pune,Maharashtra,India,309.78,76136.27
78,8129,2.0,7,2025-11-15,Completed,Store,Net Banking,Bhubaneswar,Odisha,India,181.06,151594.01
79,3088,5.0,89,2024-11-07,Completed,Store,Cash on Delivery,Bhubaneswar,Odisha,India,204.27,122475.95
80,7481,,44,2023-05-09,Completed,Online,Cash on Delivery,Bengaluru,Karnataka,India,497.1,286184.65
81,9869,,16,2023-01-15,Completed,Online,Cash on Delivery,Kochi,Kerala,India,386.38,53158.64
82,290,,49,2023-05-06,Completed,Online,Credit Card,Delhi,Delhi,India,202.91,210204.33
83,1593,,94,2023-10-02,Completed,Online,UPI,Jaipur,Rajasthan,India,12.6,77666.35
84,3718,,31,2025-08-16,Completed,Online,UPI,Guwahati,Assam,India,240.2,250464.93
85,4813,1.0,55,2025-05-10,Completed,Store,UPI,Nagpur,Maharashtra,India,311.4,157979.95
86,2557,,61,2023-05-16,Cancelled,Online,Cash on Delivery,Jaipur,Rajasthan,India,87.98,74204.49
87,1892,,45,2025-12-15,Completed,Online,Debit Card,Patna,Bihar,India,101.51,350821.55
88,1257,,57,2024-08-02,Completed,Online,UPI,Bhopal,Madhya Pradesh,India,171.37,470717.47
89,8749,,43,2025-10-05,Completed,Online,Credit Card,Kolkata,West Bengal,India,154.03,188472.5
90,7992,,81,2024-07-29,Completed,Online,Debit Card,Bhopal,Madhya Pradesh,India,201.12,332487.34
91,3016,,73,2024-11-21,Completed,Online,Cash on Delivery,Kolkata,West Bengal,India,291.17,190432.58
92,1311,,87,2024-04-21,Completed,Online,UPI,Lucknow,Uttar Pradesh,India,395.43,396037.69
93,7070,,7,2025-03-28,Completed,Online,Debit Card,Pune,Maharashtra,India,12.89,529344.97
94,6621,,97,2024-08-27,Completed,Online,Cash on Delivery,Guwahati,Assam,India,70.41,15158.7
95,6659,5.0,44,2023-12-28,Cancelled,Store,Credit Card,Lucknow,Uttar Pradesh,India,403.69,130587.11
96,1190,,36,2023-10-30,Completed,Online,UPI,Raipur,Chhattisgarh,India,351.79,176667.94
97,7922,8.0,15,2025-05-28,Completed,Store,Debit Card,Surat,Gujarat,India,66.1,25598.63
98,6879,20.0,31,2023-11-22,Cancelled,Store,UPI,Jaipur,Rajasthan,India,95.09,96653.73
99,3812,,13,2025-01-29,Completed,Online,UPI,Guwahati,Assam,India,284.24,215382.69
100,9750,7.0,43,2025-05-27,Completed,Store,Debit Card,Lucknow,Uttar Pradesh,India,398.03,294066.4
101,5124,15.0,39,2024-12-29,Completed,Store,Credit Card,Indore,Madhya Pradesh,India,303.73,564481.26
102,6016,,18,2024-06-03,Completed,Online,Net Banking,Hyderabad,Telangana,India,217.34,400070.16
103,1043,,20,2024-02-11,Completed,Online,Cash on Delivery,Bhubaneswar,Odisha,India,95.92,58865.47
104,4520,,43,2023-06-11,Completed,Online,UPI,Delhi,Delhi,India,51.32,7420.23
105,2544,9.0,24,2024-06-05,Completed,Store,Debit Card,Surat,Gujarat,India,249.69,30932.7
106,4959,,61,2024-01-11,Completed,Online,Debit Card,Jaipur,Rajasthan,India,259.03,289513.08
107,2149,17.0,25,2023-12-02,Completed,Store,Cash on Delivery,Bengaluru,Karnataka,India,378.85,149806.42
108,4416,14.0,8,2023-09-13,Completed,Store,UPI,Patna,Bihar,India,454.12,254218.62
109,7702,2.0,9,2025-05-16,Completed,Store,Credit Card,Lucknow,Uttar Pradesh,India,266.57,46570.27
110,684,10.0,34,2024-06-25,Completed,Store,UPI,Kochi,Kerala,India,124.93,238176.5
111,2677,,17,2023-07-04,Completed,Online,Net Banking,Guwahati,Assam,India,77.77,123995.41
112,5050,,82,2023-12-05,Completed,Online,Debit Card,Mumbai,Maharashtra,India,289.0,8493.27
113,6954,,62,2024-03-03,Cancelled,Online,Debit Card,Indore,Madhya Pradesh,India,449.34,156459.63
114,7749,,26,2023-11-06,Completed,Online,Net Banking,Nagpur,Maharashtra,India,205.61,21575.53
115,4717,,49,2025-06-24,Completed,Online,Cash on Delivery,Guwahati,Assam,India,143.34,47653.64
116,655,5.0,50,2024-08-09,Completed,Store,Debit Card,Mumbai,Maharashtra,India,446.65,158183.42
117,9660,,74,2024-12-17,Cancelled,Online,UPI,Hyderabad,Telangana,India,109.87,395105.08
118,4130,15.0,88,2024-07-02,Cancelled,Store,Debit Card,Jaipur,Rajasthan,India,484.53,323172.75
119,9957,,91,2024-11-15,Completed,Online,UPI,Chandigarh,Chandigarh,India,35.14,38704.5
120,1344,,19,2023-04-22,Completed,Online,Credit Card,Mumbai,Maharashtra,India,50.6,129575.82
121,1499,5.0,46,2025-07-15,Completed,Store,Cash on Delivery,Kolkata,West Bengal,India,319.68,159622.72
122,1544,,28,2023-10-31,Completed,Online,Credit Card,Kolkata,West Bengal,India,326.51,98175.96
123,7284,,8,2023-07-15,Cancelled,Online,Debit Card,Jaipur,Rajasthan,India,269.21,163539.51
124,4191,,46,2023-06-04,Completed,Online,Cash on Delivery,Bhubaneswar,Odisha,India,436.23,50084.69
125,6235,,70,2023-04-19,Completed,Online,Net Banking,Ahmedabad,Gujarat,India,38.63,316839.77
126,2551,,49,2024-03-03,Completed,Online,Credit Card,Bhubaneswar,Odisha,India,487.91,59342.35
127,7036,,100,2025-02-27,Completed,Online,Cash on Delivery,Nagpur,Maharashtra,India,215.47,95166.44
128,5943,,2,2025-01-06,Cancelled,Online,Debit Card,Delhi,Delhi,India,233.76,104182.52
129,7591,,48,2024-03-10,Completed,Online,Cash on Delivery,Bhopal,Madhya Pradesh,India,309.68,82033.64
130,6804,16.0,22,2023-04-27,Completed,Store,Cash on Delivery,Bhubaneswar,Odisha,India,64.67,273586.62
131,2185,5.0,58,2025-04-09,Completed,Store,Debit Card,Kolkata,West Bengal,India,386.4,20151.69
132,7793,,6,2023-01-26,Cancelled,Online,Debit Card,Raipur,Chhattisgarh,India,239.49,21995.77
133,3668,,76,2024-10-01,Completed,Online,UPI,Surat,Gujarat,India,235.36,307575.51
134,871,,35,2025-09-17,Completed,Online,Debit Card,Lucknow,Uttar Pradesh,India,495.06,14529.98
135,3088,15.0,2,2025-04-07,Completed,Store,Net Banking,Bhubaneswar,Odisha,India,468.57,36380.61
136,6698,,26,2023-10-17,Completed,Online,Net Banking,Pune,Maharashtra,India,288.36,408199.14
137,1446,12.0,5,2024-05-28,Completed,Store,Credit Card,Lucknow,Uttar Pradesh,India,72.82,121339.12
138,4454,,82,2023-12-24,Completed,Online,Cash on Delivery,Surat,Gujarat,India,110.08,66974.83
139,2307,5.0,49,2023-04-10,Completed,Store,Cash on Delivery,Chennai,Tamil Nadu,India,154.47,238922.83
140,4806,16.0,57,2024-07-09,Cancelled,Store,Debit Card,Chennai,Tamil Nadu,India,250.62,150225.59
141,87,17.0,97,2024-04-10,Cancelled,Store,Cash on Delivery,Pune,Maharashtra,India,262.01,77170.39
142,323,,22,2023-05-07,Cancelled,Online,Net Banking,Bhubaneswar,Odisha,India,263.39,88341.59
143,2124,12.0,46,2023-05-14,Completed,Store,Debit Card,Mumbai,Maharashtra,India,91.24,37588.59
144,5259,,18,2024-12-20,Completed,Online,UPI,Bhopal,Madhya Pradesh,India,272.05,48992.05
145,7793,,94,2025-08-12,Completed,Online,Net Banking,Raipur,Chhattisgarh,India,259.18,393122.15
146,2184,,32,2023-04-25,Completed,Online,UPI,Kolkata,West Bengal,India,104.7,238752.16
147,3230,,6,2025-04-07,Completed,Online,Cash on Delivery,Hyderabad,Telangana,India,367.32,42008.61
148,6302,9.0,29,2025-05-28,Completed,Store,UPI,Bhopal,Madhya Pradesh,India,260.32,104877.47
149,8988,5.0,95,2024-05-09,Completed,Store,UPI,Chandigarh,Chandigarh,India,216.68,74926.49
150,7615,,92,2023-03-23,Cancelled,Online,UPI,Delhi,Delhi,India,337.26,128847.96
151,3809,,10,2025-03-09,Cancelled,Online,UPI,Bhopal,Madhya Pradesh,India,81.68,105635.5
152,256,7.0,100,2025-04-12,Completed,Store,Net Banking,Guwahati,Assam,India,363.76,377615.99
153,1255,10.0,50,2024-02-23,Completed,Store,UPI,Guwahati,Assam,India,85.9,402672.99
154,2006,,80,2025-07-24,Completed,Online,Net Banking,Jaipur,Rajasthan,India,477.32,7494.43
155,9822,,29,2025-11-08,Completed,Online,UPI,Kolkata,West Bengal,India,146.89,93747.08
156,1950,,83,2023-07-26,Completed,Online,Cash on Delivery,Bhopal,Madhya Pradesh,India,118.44,484931.97
157,6577,,15,2024-02-27,Completed,Online,Net Banking,Raipur,Chhattisgarh,India,226.15,210142.73
158,9579,2.0,95,2024-09-20,Completed,Store,Debit Card,Chennai,Tamil Nadu,India,486.76,36581.97
159,4875,,63,2024-02-05,Completed,Online,Debit Card,Lucknow,Uttar Pradesh,India,317.41,296460.85
160,2770,,79,2024-02-10,Completed,Online,UPI,Delhi,Delhi,India,436.38,12700.52
161,2544,,85,2024-02-07,Completed,Online,Net Banking,Surat,Gujarat,India,484.26,110095.85
162,3836,17.0,97,2023-04-21,Completed,Store,Net Banking,Bengaluru,Karnataka,India,130.07,22814.99
163,5783,4.0,19,2024-07-18,Cancelled,Store,Net Banking,Surat,Gujarat,India,61.41,167188.5
164,1924,,25,2023-12-06,Completed,Online,Net Banking,Chennai,Tamil Nadu,India,356.5,58623.27
165,3942,,52,2024-01-14,Completed,Online,UPI,Bhubaneswar,Odisha,India,85.04,110825.1
166,818,,27,2023-07-13,Completed,Online,Cash on Delivery,Nagpur,Maharashtra,India,229.49,63273.85
167,8009,,60,2025-04-25,Completed,Online,Cash on Delivery,Bengaluru,Karnataka,India,256.4,52459.21
168,3592,,17,2024-05-26,Completed,Online,Debit Card,Pune,Maharashtra,India,379.04,69363.77
169,7823,,96,2024-02-25,Cancelled,Online,Net Banking,Raipur,Chhattisgarh,India,399.74,52997.32
170,6802,,61,2024-07-15,Completed,Online,Debit Card,Ahmedabad,Gujarat,India,238.88,160237.48
171,4170,,89,2023-11-05,Completed,Online,UPI,Bengaluru,Karnataka,India,339.18,205726.71
172,1351,,24,2023-05-12,Completed,Online,UPI,Mumbai,Maharashtra,India,131.76,139633.68
173,6386,,96,2023-05-22,Completed,Online,Debit Card,Kochi,Kerala,India,3.27,36578.56
174,2083,,89,2024-06-05,Completed,Online,Debit Card,Delhi,Delhi,India,493.62,145076.2
175,7615,11.0,32,2024-09-21,Cancelled,Store,UPI,Delhi,Delhi,India,334.24,269291.52
176,3654,,24,2025-11-27,Completed,Online,Credit Card,Kochi,Kerala,India,219.73,255210.33
177,4885,,27,2023-02-20,Completed,Online,Credit Card,Bengaluru,Karnataka,India,30.0,256522.37
178,8742,,65,2024-01-29,Completed,Online,UPI,Indore,Madhya Pradesh,India,379.99,103430.32
179,9162,,34,2024-12-18,Cancelled,Online,Cash on Delivery,Kolkata,West Bengal,India,375.77,218729.79
180,216,,27,2025-08-25,Completed,Online,UPI,Kolkata,West Bengal,India,478.67,146668.48
181,2972,,14,2024-09-24,Completed,Online,UPI,Hyderabad,Telangana,India,335.23,279102.86
182,2242,4.0,7,2023-01-10,Completed,Store,Cash on Delivery,Patna,Bihar,India,430.06,107137.61
183,3175,17.0,4,2025-08-19,Cancelled,Store,Debit Card,Pune,Maharashtra,India,399.48,24941.69
184,3857,,70,2024-03-16,Completed,Online,Debit Card,Indore,Madhya Pradesh,India,270.91,263644.27
185,1367,,63,2025-06-19,Completed,Online,Net Banking,Jaipur,Rajasthan,India,145.9,51006.96
186,2500,,31,2025-02-09,Completed,Online,Credit Card,Hyderabad,Telangana,India,116.36,243339.51
187,8733,,42,2025-12-29,Cancelled,Online,Cash on Delivery,Bhopal,Madhya Pradesh,India,98.42,147162.49
188,3216,7.0,33,2023-11-23,Cancelled,Store,UPI,Indore,Madhya Pradesh,India,406.45,256230.47
189,328,,33,2025-11-15,Completed,Online,UPI,Bengaluru,Karnataka,India,103.68,110644.55
190,8550,,9,2023-08-14,Completed,Online,Cash on Delivery,Ahmedabad,Gujarat,India,312.65,150418.04
191,2661,4.0,44,2024-08-06,Cancelled,Store,Debit Card,Bhubaneswar,Odisha,India,292.72,57138.21
192,990,8.0,79,2025-03-27,Completed,Store,Credit Card,Pune,Maharashtra,India,388.81,353477.69
193,8357,,70,2025-12-01,Cancelled,Online,Debit Card,Patna,Bihar,India,396.47,77771.74
194,9366,,11,2024-08-15,Cancelled,Online,UPI,Indore,Madhya Pradesh,India,106.09,334665.3
195,9011,15.0,44,2025-03-18,Completed,Store,Cash on Delivery,Nagpur,Maharashtra,India,357.82,459482.85
196,2183,,86,2024-08-10,Completed,Online,Net Banking,Pune,Maharashtra,India,428.09,62212.47
197,2567,15.0,84,2025-02-05,Completed,Store,UPI,Indore,Madhya Pradesh,India,207.51,56007.57
198,9442,,71,2025-12-10,Completed,Online,Net Banking,Chennai,Tamil Nadu,India,376.07,182712.74
199,1677,,5,2024-05-18,Completed,Online,Cash on Delivery,Lucknow,Uttar Pradesh,India,39.57,378795.16
200,1263,,94,2024-07-04,Completed,Online,UPI,Jaipur,Rajasthan,India,307.82,262943.48
201,3169,2.0,57,2023-11-03,Completed,Store,Net Banking,Mumbai,Maharashtra,India,204.71,66619.72
202,4564,5.0,34,2023-11-06,Completed,Store,Net Banking,Surat,Gujarat,India,381.61,193456.7
203,222,9.0,47,2025-05-28,Completed,Store,Net Banking,Surat,Gujarat,India,77.58,349245.51
204,5690,,56,2024-12-31,Completed,Online,Debit Card,Surat,Gujarat,India,169.42,209729.63
205,1817,17.0,16,2025-06-28,Completed,Store,Credit Card,Kochi,Kerala,India,419.88,525974.28
206,797,,32,2024-10-10,Completed,Online,Debit Card,Guwahati,Assam,India,99.6,347719.39
207,7363,6.0,85,2024-02-22,Completed,Store,UPI,Indore,Madhya Pradesh,India,358.86,90017.01
208,2886,,80,2024-04-10,Completed,Online,Debit Card,Kolkata,West Bengal,India,277.08,66960.2
209,2465,,89,2023-09-23,Cancelled,Online,Cash on Delivery,Lucknow,Uttar Pradesh,India,31.25,367033.41
210,8604,,63,2025-03-23,Completed,Online,UPI,Pune,Maharashtra,India,293.94,99996.57
211,5629,,75,2024-05-12,Completed,Online,Debit Card,Patna,Bihar,India,386.19,60588.91
212,4667,,72,2023-06-09,Completed,Online,UPI,Chennai,Tamil Nadu,India,31.05,205380.82
213,1518,1.0,33,2025-01-23,Completed,Store,Cash on Delivery,Chandigarh,Chandigarh,India,230.68,376106.71
214,3148,,95,2023-09-23,Completed,Online,Debit Card,Delhi,Delhi,India,307.69,123708.16
215,4993,,32,2023-10-15,Completed,Online,Debit Card,Raipur,Chhattisgarh,India,374.1,276000.96
216,3221,,32,2024-05-15,Completed,Online,Credit Card,Ahmedabad,Gujarat,India,334.28,261879.17
217,8592,,96,2024-04-15,Completed,Online,UPI,Mumbai,Maharashtra,India,306.27,103813.1
218,8254,,73,2025-12-23,Completed,Online,UPI,Lucknow,Uttar Pradesh,India,161.73,246045.47
219,5607,,45,2024-11-15,Completed,Online,Net Banking,Kolkata,West Bengal,India,422.83,292580.62
220,610,7.0,7,2024-01-10,Completed,Store,Net Banking,Raipur,Chhattisgarh,India,138.94,2563.5
221,2303,2.0,38,2025-12-09,Completed,Store,Cash on Delivery,Guwahati,Assam,India,270.44,285746.4
222,4777,,80,2023-08-11,Completed,Online,Debit Card,Hyderabad,Telangana,India,329.31,17958.02
223,311,,66,2025-09-27,Completed,Online,Debit Card,Chandigarh,Chandigarh,India,420.03,153280.23
224,4430,14.0,2,2024-02-12,Completed,Store,Cash on Delivery,Guwahati,Assam,India,246.57,135085.87
225,7459,,43,2025-08-16,Completed,Online,Cash on Delivery,Surat,Gujarat,India,26.1,154400.65
226,6917,3.0,30,2023-12-21,Completed,Store,Credit Card,Mumbai,Maharashtra,India,260.16,104912.22
227,2436,,32,2023-05-28,Completed,Online,Credit Card,Chandigarh,Chandigarh,India,348.8,179695.41
228,1115,20.0,83,2025-11-06,Completed,Store,Cash on Delivery,Bhopal,Madhya Pradesh,India,236.13,100202.62
229,9531,,89,2024-09-23,Completed,Online,Debit Card,Guwahati,Assam,India,462.01,374233.74
230,3419,,45,2024-11-28,Cancelled,Online,Net Banking,Guwahati,Assam,India,37.02,57057.85
231,5065,,26,2023-03-21,Completed,Online,UPI,Raipur,Chhattisgarh,India,142.95,84714.47
232,8843,,6,2024-01-10,Completed,Online,UPI,Hyderabad,Telangana,India,450.93,243391.78
233,6655,,46,2024-04-20,Completed,Online,Debit Card,Delhi,Delhi,India,13.19,59611.35
234,7451,,50,2025-08-19,Completed,Online,Debit Card,Hyderabad,Telangana,India,307.42,36878.61
235,9402,,94,2023-09-27,Cancelled,Online,Cash on Delivery,Pune,Maharashtra,India,421.25,8099.67
236,3048,4.0,41,2024-01-09,Completed,Store,Credit Card,Bengaluru,Karnataka,India,350.63,24646.69
237,8651,7.0,98,2023-10-13,Completed,Store,Net Banking,Bhopal,Madhya Pradesh,India,190.16,208043.29
238,8987,,97,2023-05-10,Completed,Online,Credit Card,Raipur,Chhattisgarh,India,253.45,302030.91
239,4884,,20,2023-03-01,Completed,Online,Debit Card,Raipur,Chhattisgarh,India,321.66,313366.2
240,2916,,40,2024-03-09,Completed,Online,UPI,Jaipur,Rajasthan,India,440.43,35456.41
241,1502,20.0,51,2024-11-23,Completed,Store,Debit Card,Jaipur,Rajasthan,India,228.87,5870.1
242,1357,,29,2025-09-25,Completed,Online,Debit Card,Indore,Madhya Pradesh,India,310.95,367849.44
243,7640,,87,2023-08-14,Completed,Online,Debit Card,Kochi,Kerala,India,202.92,49010.71
244,111,,23,2024-04-29,Completed,Online,UPI,Lucknow,Uttar Pradesh,India,173.49,236009.78
245,827,,21,2023-11-30,Completed,Online,Debit Card,Mumbai,Maharashtra,India,79.86,142692.57
246,2565,1.0,34,2024-07-24,Completed,Store,Cash on Delivery,Guwahati,Assam,India,496.08,250001.03
247,4845,16.0,18,2024-02-16,Completed,Store,Debit Card,Lucknow,Uttar Pradesh,India,361.11,39128.74
248,9013,,95,2023-02-15,Completed,Online,Net Banking,Patna,Bihar,India,113.09,40104.69
249,6145,,36,2025-02-23,Completed,Online,Debit Card,Kolkata,West Bengal,India,58.04,95993.64
250,8018,,73,2023-10-03,Completed,Online,Net Banking,Ahmedabad,Gujarat,India,179.47,473101.45
251,6938,17.0,98,2023-08-22,Completed,Store,Credit Card,Mumbai,Maharashtra,India,228.53,20826.85
252,9115,,33,2025-10-10,Completed,Online,Credit Card,Ahmedabad,Gujarat,India,246.19,51906.63
253,145,17.0,80,2023-10-16,Completed,Store,UPI,Guwahati,Assam,India,238.92,101071.91
254,3612,12.0,5,2024-07-22,Completed,Store,UPI,Chennai,Tamil Nadu,India,422.26,120723.61
255,7500,,46,2025-11-20,Completed,Online,Credit Card,Raipur,Chhattisgarh,India,334.72,106003.32
256,2877,,15,2025-05-04,Completed,Online,UPI,Delhi,Delhi,India,431.71,371566.37
257,5033,2.0,86,2023-09-07,Completed,Store,Net Banking,Bhopal,Madhya Pradesh,India,148.4,215916.98
258,8853,,72,2024-08-14,Cancelled,Online,Cash on Delivery,Bhopal,Madhya Pradesh,India,401.31,51343.48
259,3359,,74,2023-11-29,Completed,Online,UPI,Delhi,Delhi,India,8.52,232293.59
260,6681,,76,2024-09-03,Completed,Online,UPI,Kochi,Kerala,India,390.76,118205.2
261,4996,,71,2025-10-19,Completed,Online,Credit Card,Nagpur,Maharashtra,India,195.62,53105.12
262,7966,,78,2024-08-30,Cancelled,Online,Net Banking,Guwahati,Assam,India,411.32,49186.5
