inventory_id,product_id,store_id,stock_quantity,reorder_level,reorder_quantity,last_restock_date,next_restock_date,inventory_status
119,119,1,24,22,278,2025-09-25,2025-10-04,In Stock
120,120,1,174,26,249,2025-06-01,2025-06-25,In Stock
121,121,1,447,58,227,2025-08-07,2025-08-30,Overstock
122,122,1,323,32,111,2025-07-29,2025-09-09,In Stock
123,123,1,375,45,85,2025-04-04,2025-05-16,In Stock
124,124,1,295,48,149,2025-01-21,2025-02-06,In Stock
125,125,1,472,86,232,2025-03-02,2025-04-03,Overstock
126,126,1,411,73,169,2025-10-31,2025-11-25,Overstock
127,127,1,422,20,153,2025-01-01,2025-02-09,Overstock
128,128,1,83,69,194,2025-02-06,2025-02-18,In Stock
129,129,1,228,23,171,2025-01-29,2025-03-05,In Stock
130,130,1,275,53,201,2025-01-24,2025-03-09,In Stock
131,131,1,182,67,261,2025-07-31,2025-08-07,In Stock
132,132,1,414,24,289,2025-12-03,2025-12-28,Overstock
133,133,1,127,71,185,2025-03-03,2025-04-11,In Stock
134,134,1,248,39,205,2025-04-18,2025-05-19,In Stock
135,135,1,202,97,171,2025-04-08,2025-05-09,In Stock
136,136,1,454,96,125,2025-10-15,2025-11-29,Overstock
137,137,1,189,89,101,2025-07-06,2025-08-12,In Stock
138,138,1,107,30,154,2025-09-17,2025-10-20,In Stock
139,139,1,487,60,132,2025-10-23,2025-11-08,Overstock
140,140,1,184,35,110,2025-01-19,2025-02-17,In Stock
141,141,1,359,67,246,2025-10-13,2025-11-26,In Stock
142,142,1,409,27,62,2025-04-19,2025-05-15,Overstock
143,143,1,447,57,123,2025-12-01,2026-01-15,Overstock
144,144,1,430,29,152,2025-12-06,2025-12-20,Overstock
145,145,1,165,89,184,2025-11-06,2025-12-14,In Stock
146,146,1,351,62,217,2025-05-14,2025-06-08,In Stock
147,147,1,453,93,269,2025-10-15,2025-11-04,Overstock
148,148,1,149,93,170,2025-10-06,2025-10-17,In Stock
149,149,1,104,42,60,2025-06-11,2025-07-23,In Stock
150,150,1,87,23,75,2025-05-19,2025-06-01,In Stock
151,151,1,45,21,115,2025-02-24,2025-03-22,In Stock
152,152,1,337,86,252,2025-06-18,2025-07-10,In Stock
153,153,1,490,21,119,2025-08-12,2025-09-22,Overstock
154,154,1,419,70,110,2025-01-28,2025-02-14,Overstock
155,155,1,444,43,181,2025-09-30,2025-10-29,Overstock
156,156,1,296,100,78,2025-01-02,2025-01-18,In Stock
157,157,1,144,92,57,2025-08-28,2025-09-21,In Stock
158,158,1,390,29,109,2025-09-17,2025-10-21,In Stock
159,159,1,92,25,94,2025-06-06,2025-07-14,In Stock
160,160,1,97,39,117,2025-02-23,2025-03-02,In Stock
161,161,1,471,89,139,2025-10-13,2025-10-30,Overstock
162,162,1,245,71,276,2025-04-14,2025-05-21,In Stock
163,163,1,45,33,230,2025-01-15,2025-02-03,In Stock
164,164,1,489,97,184,2025-03-22,2025-04-01,Overstock
165,165,1,259,24,72,2025-04-28,2025-06-08,In Stock
166,166,1,356,48,269,2025-03-18,2025-04-14,In Stock
167,167,1,166,55,222,2025-10-21,2025-11-13,In Stock
168,168,1,445,56,291,2025-04-29,2025-05-20,Overstock
169,169,1,445,50,80,2025-12-19,2026-01-14,Overstock
170,170,1,328,54,61,2025-08-17,2025-09-11,In Stock
171,171,1,40,52,284,2025-07-04,2025-07-23,Low Stock
172,172,1,86,49,261,2025-08-20,2025-09-01,In Stock
173,173,1,44,37,237,2025-05-26,2025-06-11,In Stock
174,174,1,183,80,60,2025-03-03,2025-03-30,In Stock
175,175,1,343,34,68,2025-12-30,2026-02-07,In Stock
176,176,1,279,69,187,2025-01-31,2025-03-15,In Stock
177,177,1,195,64,288,2025-01-24,2025-02-24,In Stock
178,178,1,448,99,273,2025-10-27,2025-12-04,Overstock
179,179,1,339,70,66,2025-07-18,2025-07-28,In Stock
180,180,1,115,89,83,2025-06-05,2025-06-26,In Stock
181,181,1,381,71,218,2025-05-27,2025-06-15,In Stock
182,182,1,207,54,233,2025-10-10,2025-10-28,In Stock
183,183,1,380,76,175,2025-01-28,2025-02-25,In Stock
184,184,1,363,76,184,2025-06-20,2025-08-02,In Stock
185,185,1,428,42,85,2025-03-24,2025-04-19,Overstock
186,186,1,488,52,98,2025-07-28,2025-09-11,Overstock
187,187,1,241,32,185,2025-10-20,2025-11-29,In Stock
188,188,1,238,60,210,2025-05-12,2025-06-22,In Stock
189,189,1,185,48,221,2025-12-05,2025-12-22,In Stock
190,190,1,243,45,129,2025-01-19,2025-02-18,In Stock
191,191,1,34,61,95,2025-03-30,2025-05-07,Low Stock
192,192,1,63,82,103,2025-03-20,2025-05-03,Low Stock
193,193,1,1,50,214,2025-04-21,2025-05-05,Low Stock
194,194,1,484,88,193,2025-08-12,2025-09-08,Overstock
195,195,1,262,61,191,2025-07-13,2025-08-19,In Stock
196,196,1,216,30,140,2025-05-24,2025-06-26,In Stock
197,197,1,136,83,140,2025-01-14,2025-02-22,In Stock
198,198,1,64,32,130,2025-11-08,2025-12-10,In Stock
199,199,1,342,40,108,2025-05-23,2025-06-12,In Stock
200,200,1,100,93,119,2025-08-22,2025-09-06,In Stock
201,201,1,166,67,257,2025-06-05,2025-06-18,In Stock
202,202,1,144,71,97,2025-04-19,2025-05-26,In Stock
203,203,1,294,46,224,2025-04-29,2025-05-14,In Stock
204,204,1,397,23,128,2025-12-16,2025-12-26,In Stock
205,205,1,204,34,147,2025-08-04,2025-08-30,In Stock
206,206,1,153,24,259,2025-03-30,2025-04-14,In Stock
207,207,1,19,50,254,2025-05-03,2025-05-14,Low Stock
208,208,1,291,43,92,2025-12-19,2026-01-06,In Stock
209,209,1,330,41,197,2025-11-21,2025-11-30,In Stock
210,210,1,297,50,214,2025-03-12,2025-04-14,In Stock
211,211,1,66,53,280,2025-05-16,2025-06-15,In Stock
212,212,1,236,66,73,2025-10-29,2025-11-07,In Stock
213,213,1,330,67,160,2025-03-15,2025-04-18,In Stock
214,214,1,445,56,198,2025-06-21,2025-07-11,Overstock
215,215,1,186,33,137,2025-10-28,2025-11-26,In Stock
216,216,1,332,94,156,2025-06-23,2025-07-18,In Stock
217,217,1,302,58,218,2025-11-23,2025-12-09,In Stock
218,218,1,310,88,204,2025-07-17,2025-08-13,In Stock
219,219,1,315,53,289,2025-03-31,2025-04-25,In Stock
220,220,1,290,65,138,2025-09-20,2025-10-19,In Stock
221,221,1,395,97,243,2025-07-29,2025-08-26,In Stock
222,222,1,363,32,83,2025-03-03,2025-04-13,In Stock
223,223,1,267,92,208,2025-10-11,2025-11-23,In Stock
224,224,1,179,24,199,2025-09-29,2025-11-02,In Stock
225,225,1,254,87,248,2025-06-15,2025-06-22,In Stock
226,226,1,57,23,116,2025-10-03,2025-11-17,In Stock
227,227,1,452,20,121,2025-02-22,2025-03-09,Overstock
228,228,1,257,21,300,2025-08-12,2025-09-25,In Stock
229,229,1,47,71,55,2025-08-30,2025-09-22,Low Stock
230,230,1,465,75,157,2025-09-29,2025-10-26,Overstock
231,231,1,387,50,117,2025-03-04,2025-04-15,In Stock
232,232,1,360,74,96,2025-11-22,2025-12-15,In Stock
233,233,1,342,80,97,2025-06-08,2025-07-09,In Stock
234,234,1,259,72,76,2025-01-07,2025-01-16,In Stock
235,235,1,412,65,80,2025-07-15,2025-08-26,Overstock
236,236,1,461,23,75,2025-04-22,2025-05-23,Overstock
237,237,1,301,22,230,2025-06-17,2025-07-09,In Stock
238,238,1,96,79,59,2025-06-11,2025-07-05,In Stock
239,239,1,497,74,272,2025-05-22,2025-06-17,Overstock
240,240,1,372,62,253,2025-12-05,2026-01-03,In Stock
241,241,1,29,80,219,2025-01-10,2025-02-01,Low Stock
242,242,1,320,49,196,2025-01-11,2025-02-22,In Stock
243,243,1,144,75,88,2025-04-04,2025-04-28,In Stock
244,244,1,330,92,246,2025-04-05,2025-05-12,In Stock
245,245,1,439,22,145,2025-08-04,2025-09-15,Overstock
246,246,1,160,58,83,2025-03-24,2025-04-15,In Stock
247,247,1,417,36,185,2025-12-14,2025-12-24,Overstock
248,248,1,2,62,208,2025-12-24,2026-02-04,Low Stock
249,249,1,287,77,204,2025-03-06,2025-03-15,In Stock
250,250,1,362,49,90,2025-06-15,2025-07-30,In Stock
251,251,1,32,22,267,2025-09-05,2025-09-19,In Stock
252,252,1,82,30,218,2025-04-04,2025-04-25,In Stock
253,253,1,258,30,183,2025-03-22,2025-04-05,In Stock
254,254,1,190,40,209,2025-09-08,2025-10-03,In Stock
255,255,1,131,90,109,2025-11-22,2025-11-30,In Stock
256,256,1,71,87,167,2025-06-28,2025-07-28,Low Stock
257,257,1,246,84,85,2025-09-04,2025-09-18,In Stock
258,258,1,57,36,65,2025-03-07,2025-04-14,In Stock
259,259,1,440,36,174,2025-08-21,2025-09-14,Overstock
260,260,1,481,21,168,2025-02-04,2025-02-27,Overstock
261,261,1,407,81,89,2025-12-02,2026-01-09,Overstock
262,262,1,74,94,109,2025-05-31,2025-06-16,Low Stock
263,263,1,260,48,78,2025-01-24,2025-02-20,In Stock
264,264,1,371,79,90,2025-12-02,2025-12-27,In Stock
265,265,1,271,22,172,2025-04-10,2025-04-23,In Stock
266,266,1,350,38,167,2025-06-22,2025-07-08,In Stock
267,267,1,395,86,214,2025-11-17,2025-12-13,In Stock
268,268,1,162,61,189,2025-12-12,2025-12-28,In Stock
269,269,1,20,29,100,2025-02-04,2025-03-07,Low Stock
270,270,1,152,53,120,2025-09-27,2025-10-20,In Stock
271,271,1,173,23,175,2025-06-16,2025-07-04,In Stock
272,272,1,153,50,114,2025-06-23,2025-07-26,In Stock
273,273,1,304,24,268,2025-09-10,2025-10-17,In Stock
274,274,1,209,39,219,2025-03-21,2025-04-28,In Stock
275,275,1,435,70,117,2025-01-08,2025-02-04,Overstock
276,276,1,457,77,271,2025-09-25,2025-10-29,Overstock
277,277,1,178,49,154,2025-04-02,2025-04-11,In Stock
278,278,1,291,60,78,2025-01-04,2025-02-16,In Stock
279,279,1,484,98,56,2025-10-16,2025-11-28,Overstock
280,280,1,372,72,156,2025-10-10,2025-10-26,In Stock
281,281,1,367,90,112,2025-10-17,2025-11-14,In Stock
282,282,1,97,27,257,2025-07-07,2025-08-18,In Stock
283,283,1,367,51,289,2025-05-12,2025-05-23,In Stock
284,284,1,180,80,299,2025-12-10,2026-01-05,In Stock
285,285,1,280,100,120,2025-06-03,2025-07-06,In Stock
286,286,1,169,83,144,2025-01-05,2025-01-21,In Stock
287,287,1,101,93,292,2025-01-15,2025-02-16,In Stock
288,288,1,101,67,272,2025-06-25,2025-08-02,In Stock
289,289,1,272,83,132,2025-02-09,2025-03-26,In Stock
290,290,1,1,55,173,2025-02-09,2025-02-25,Low Stock
291,291,1,234,84,189,2025-06-15,2025-07-11,In Stock
292,292,1,92,28,281,2025-11-18,2025-12-20,In Stock
293,293,1,2,95,230,2025-09-01,2025-09-14,Low Stock
294,294,1,254,76,283,2025-09-25,2025-10-26,In Stock
295,295,1,23,54,245,2025-12-02,2026-01-15,Low Stock
296,296,1,454,38,190,2025-02-19,2025-03-09,Overstock
297,297,1,299,97,75,2025-03-04,2025-04-01,In Stock
298,298,1,340,44,135,2025-05-29,2025-07-08,In Stock
299,299,1,275,29,273,2025-07-08,2025-08-08,In Stock
300,300,1,188,91,288,2025-02-07,2025-03-11,In Stock
301,301,1,55,39,52,2025-01-09,2025-02-11,In Stock
302,302,1,474,65,69,2025-03-12,2025-04-02,Overstock
303,303,1,491,30,297,2025-06-30,2025-07-27,Overstock
304,304,1,181,97,196,2025-10-16,2025-10-25,In Stock
305,305,1,265,23,189,2025-08-27,2025-09-07,In Stock
306,306,1,434,23,107,2025-11-20,2026-01-04,Overstock
307,307,1,495,32,192,2025-12-23,2025-12-31,Overstock
308,308,1,239,63,70,2025-01-28,2025-02-06,In Stock
309,309,1,434,46,180,2025-07-19,2025-08-14,Overstock
310,310,1,463,66,162,2025-06-24,2025-08-02,Overstock
311,311,1,459,91,102,2025-07-31,2025-08-23,Overstock
312,312,1,370,43,100,2025-07-08,2025-08-03,In Stock
313,313,1,361,68,111,2025-07-12,2025-08-09,In Stock
314,314,1,91,34,211,2025-07-06,2025-08-10,In Stock
315,315,1,300,24,78,2025-07-22,2025-08-10,In Stock
316,316,1,403,78,135,2025-01-04,2025-02-09,Overstock
317,317,1,245,60,253,2025-01-09,2025-02-18,In Stock
318,318,1,254,49,147,2025-08-21,2025-09-07,In Stock
319,319,1,448,74,78,2025-03-07,2025-04-15,Overstock
320,320,1,142,45,126,2025-05-10,2025-06-05,In Stock
321,321,1,434,71,193,2025-02-05,2025-02-12,Overstock
322,322,1,322,72,79,2025-03-13,2025-04-25,In Stock
323,323,1,364,48,272,2025-02-24,2025-03-18,In Stock
324,324,1,223,100,173,2025-10-07,2025-10-27,In Stock
325,325,1,455,21,138,2025-03-13,2025-03-23,Overstock
326,326,1,387,48,85,2025-01-06,2025-02-17,In Stock
327,327,1,449,39,69,2025-08-10,2025-09-05,Overstock
328,328,1,424,23,186,2025-10-31,2025-12-10,Overstock
329,329,1,377,25,122,2025-06-28,2025-07-10,In Stock
330,330,1,69,28,182,2025-07-13,2025-08-24,In Stock
331,331,1,128,21,61,2025-08-26,2025-09-16,In Stock
332,332,1,188,29,272,2025-09-23,2025-10-17,In Stock
333,333,1,128,44,252,2025-03-24,2025-05-02,In Stock
334,334,1,359,53,210,2025-12-08,2025-12-20,In Stock
335,335,1,76,30,154,2025-11-07,2025-12-10,In Stock
336,336,1,30,78,172,2025-10-13,2025-11-03,Low Stock
337,337,1,60,83,230,2025-10-03,2025-10-29,Low Stock
338,338,1,485,63,122,2025-11-22,2025-12-03,Overstock
339,339,1,75,78,237,2025-05-04,2025-06-07,Low Stock
340,340,1,346,45,145,2025-05-26,2025-06-17,In Stock
341,341,1,214,65,142,2025-01-13,2025-02-15,In Stock
342,342,1,292,77,216,2025-07-04,2025-08-14,In Stock
343,343,1,104,85,295,2025-06-06,2025-07-10,In Stock
344,344,1,87,99,165,2025-09-27,2025-11-09,Low Stock
345,345,1,10,40,76,2025-05-08,2025-06-11,Low Stock
346,346,1,496,63,167,2025-02-03,2025-03-12,Overstock
347,347,1,153,27,78,2025-04-01,2025-04-15,In Stock
348,348,1,376,99,104,2025-01-16,2025-01-26,In Stock
349,349,1,397,78,74,2025-11-18,2025-12-06,In Stock
350,350,1,494,32,291,2025-06-06,2025-07-07,Overstock
351,351,1,38,24,296,2025-05-16,2025-05-23,In Stock
352,352,1,380,39,209,2025-06-12,2025-07-14,In Stock
353,353,1,170,37,159,2025-04-08,2025-04-30,In Stock
354,354,1,79,35,218,2025-06-22,2025-07-05,In Stock
355,355,1,450,81,126,2025-11-15,2025-12-15,Overstock
356,356,1,454,31,186,2025-05-21,2025-06-02,Overstock
357,357,1,7,74,296,2025-03-22,2025-04-13,Low Stock
358,358,1,166,28,287,2025-01-13,2025-01-25,In Stock
359,359,1,102,64,235,2025-05-15,2025-06-18,In Stock
360,360,1,383,67,153,2025-03-12,2025-03-29,In Stock
361,361,1,143,71,53,2025-10-24,2025-11-03,In Stock
362,362,1,98,62,108,2025-01-21,2025-03-07,In Stock
363,363,1,287,46,117,2025-10-06,2025-11-07,In Stock
364,364,1,468,45,94,2025-06-16,2025-06-25,Overstock
365,365,1,408,87,223,2025-12-26,2026-01-22,Overstock
366,366,1,186,60,220,2025-05-16,2025-05-24,In Stock
367,367,1,8,62,265,2025-07-19,2025-08-28,Low Stock
368,368,1,439,97,253,2025-11-20,2025-12-20,Overstock
369,369,1,175,32,153,2025-09-24,2025-10-15,In Stock
370,370,1,39,98,183,2025-07-21,2025-09-04,Low Stock
371,371,1,69,68,86,2025-10-31,2025-11-17,In Stock
372,372,1,144,79,280,2025-04-10,2025-04-22,In Stock
373,373,1,377,63,167,2025-11-14,2025-12-12,In Stock
374,374,1,308,67,217,2025-01-01,2025-02-12,In Stock
375,375,1,436,96,185,2025-12-31,2026-01-24,Overstock
376,376,1,165,29,55,2025-06-03,2025-07-05,In Stock
377,377,1,17,26,240,2025-04-02,2025-05-08,Low Stock
378,378,1,272,56,158,2025-09-27,2025-11-08,In Stock
379,379,1,369,95,159,2025-04-16,2025-04-27,In Stock
380,380,1,12,75,298,2025-10-05,2025-11-08,Low Stock
381,381,1,270,31,254,2025-08-22,2025-08-31,In Stock
382,382,1,3,50,210,2025-08-29,2025-09-19,Low Stock
383,383,1,429,67,146,2025-05-15,2025-06-04,Overstock
384,384,1,285,86,103,2025-02-09,2025-02-20,In Stock
385,385,1,410,68,166,2025-09-12,2025-10-09,Overstock
386,386,1,357,37,105,2025-10-17,2025-11-08,In Stock
387,387,1,234,63,236,2025-08-21,2025-09-24,In Stock
388,388,1,198,100,219,2025-09-23,2025-10-08,In Stock
389,389,1,410,95,104,2025-06-13,2025-06-24,Overstock
390,390,1,114,58,266,2025-01-15,2025-02-18,In Stock
391,391,1,472,79,102,2025-06-29,2025-07-08,Overstock
392,392,1,379,91,209,2025-04-29,2025-05-31,In Stock
393,393,1,162,28,282,2025-10-27,2025-12-02,In Stock
394,394,1,8,96,93,2025-09-06,2025-10-21,Low Stock
395,395,1,429,31,76,2025-01-11,2025-02-01,Overstock
396,396,1,238,88,120,2025-06-10,2025-06-28,In Stock
397,397,1,428,93,145,2025-02-25,2025-03-07,Overstock
398,398,1,27,72,278,2025-10-10,2025-10-30,Low Stock
399,399,1,369,97,122,2025-05-20,2025-06-17,In Stock
400,400,1,111,27,204,2025-01-30,2025-03-15,In Stock
401,401,1,301,53,275,2025-12-19,2026-01-02,In Stock
402,402,1,478,88,160,2025-05-01,2025-05-17,Overstock
403,403,1,152,33,234,2025-02-15,2025-03-05,In Stock
404,404,1,202,32,146,2025-08-15,2025-09-07,In Stock
405,405,1,396,76,226,2025-03-14,2025-03-26,In Stock
406,406,1,19,100,109,2025-01-08,2025-02-14,Low Stock
407,407,1,122,32,149,2025-01-04,2025-01-22,In Stock
408,408,1,366,27,134,2025-01-14,2025-01-26,In Stock
409,409,1,103,53,139,2025-03-25,2025-04-01,In Stock
410,410,1,354,98,162,2025-08-09,2025-08-17,In Stock
411,411,1,337,52,153,2025-07-03,2025-08-10,In Stock
412,412,1,107,97,148,2025-04-11,2025-05-17,In Stock
413,413,1,172,98,95,2025-01-08,2025-01-27,In Stock
414,414,1,213,88,67,2025-08-16,2025-08-27,In Stock
415,415,1,292,50,62,2025-05-13,2025-05-27,In Stock
416,416,1,168,97,181,2025-11-04,2025-11-24,In Stock
417,417,1,50,29,210,2025-06-13,2025-06-20,In Stock
418,418,1,455,94,280,2025-10-12,2025-11-13,Overstock
419,419,1,125,80,93,2025-11-05,2025-12-07,In Stock
420,420,1,58,53,201,2025-02-09,2025-03-23,In Stock
421,421,1,266,99,252,2025-08-11,2025-08-20,In Stock
422,422,1,381,96,234,2025-10-07,2025-10-24,In Stock
423,423,1,57,71,258,2025-02-07,2025-03-10,Low Stock
424,424,1,193,72,288,2025-02-14,2025-03-10,In Stock
425,425,1,83,57,50,2025-07-02,2025-07-13,In Stock
426,426,1,287,38,184,2025-03-14,2025-04-05,In Stock
427,427,1,443,26,155,2025-06-20,2025-07-24,Overstock
428,428,1,466,91,223,2025-02-19,2025-03-24,Overstock
429,429,1,77,99,113,2025-10-08,2025-11-05,Low Stock
430,430,1,0,87,138,2025-09-09,2025-10-06,Out of Stock
431,431,1,285,70,248,2025-06-27,2025-08-01,In Stock
432,432,1,440,55,183,2025-01-09,2025-02-13,Overstock
433,433,1,433,49,132,2025-04-27,2025-05-29,Overstock
434,434,1,178,40,294,2025-08-01,2025-09-08,In Stock
435,435,1,139,35,175,2025-06-30,2025-07-27,In Stock
436,436,1,360,97,180,2025-01-26,2025-02-02,In Stock
437,437,1,256,57,295,2025-04-25,2025-05-27,In Stock
438,438,1,390,70,108,2025-11-25,2025-12-22,In Stock
439,439,1,387,42,283,2025-11-09,2025-11-24,In Stock
440,440,1,63,62,59,2025-09-16,2025-10-05,In Stock
441,441,1,375,43,212,2025-01-27,2025-03-09,In Stock
442,442,1,180,21,199,2025-06-19,2025-07-25,In Stock
443,443,1,263,46,155,2025-09-01,2025-09-21,In Stock
444,444,1,67,23,252,2025-10-23,2025-11-17,In Stock
445,445,1,233,96,219,2025-04-24,2025-06-01,In Stock
446,446,1,438,24,193,2025-12-12,2026-01-12,Overstock
