return_id,order_id,order_item_id,customer_id,product_id,return_date,return_quantity,return_reason,refund_amount,return_status
139,843,2464,408,441,2023-08-12,1,Damaged Product,7558.87,Completed
140,862,2510,4149,773,2025-11-28,1,Product Not as Expected,10661.83,Completed
141,867,2525,4348,526,2025-07-03,2,Damaged Product,19031.44,Completed
142,893,2598,6509,712,2025-02-25,2,Damaged Product,14077.4,Completed
143,901,2627,7249,648,2024-11-08,1,Quality Issue,7799.17,Completed
144,906,2645,6743,495,2023-04-17,1,Quality Issue,36707.82,Completed
145,913,2663,411,1000,2024-06-01,2,Changed Mind,70587.52,Completed
146,922,2684,818,297,2025-11-20,2,Changed Mind,18968.46,Completed
147,925,2688,5255,106,2023-12-30,1,Product Not as Expected,46627.58,Completed
148,925,2689,5255,641,2023-12-30,1,Size/Fit Issue,12415.84,Completed
149,927,2696,487,92,2023-08-13,1,Quality Issue,20472.41,Completed
150,933,2717,87,904,2023-07-03,1,Wrong Product,59389.18,Completed
151,941,2743,6356,389,2023-01-01,1,Late Delivery,28890.02,Completed
152,943,2750,8779,205,2023-09-22,4,Quality Issue,175743.12,Completed
153,944,2752,4121,910,2025-10-04,1,Late Delivery,46134.06,Completed
154,945,2756,9324,104,2024-06-24,1,Late Delivery,6636.56,Completed
155,948,2766,5444,893,2025-06-06,1,Quality Issue,24158.85,Completed
156,963,2818,8650,3,2025-05-03,1,Late Delivery,43470.0,Completed
157,966,2830,4312,882,2025-08-02,1,Damaged Product,8514.18,Completed
158,967,2833,2532,630,2024-11-01,2,Changed Mind,81594.52,Completed
159,968,2835,7145,245,2025-01-14,1,Wrong Product,22158.81,Completed
160,984,2885,6543,22,2025-06-22,1,Late Delivery,18377.28,Completed
161,988,2901,6778,24,2024-05-18,1,Late Delivery,34565.44,Completed
162,992,2911,7697,785,2025-11-09,2,Late Delivery,32581.22,Completed
163,995,2918,5276,237,2024-04-02,1,Quality Issue,17431.72,Completed
164,1002,2948,6359,406,2024-09-07,2,Damaged Product,111033.68,Completed
165,1003,2951,8999,422,2024-07-28,1,Damaged Product,36577.78,Completed
166,1005,2959,3856,385,2024-01-23,2,Product Not as Expected,102391.02,Completed
167,1010,2978,8621,628,2024-10-18,1,Size/Fit Issue,71460.85,Completed
168,1013,2992,5867,321,2024-02-21,1,Quality Issue,64212.74,Completed
169,1021,3007,8919,603,2025-01-25,1,Size/Fit Issue,3198.92,Completed
170,1039,3060,8098,41,2024-07-29,1,Damaged Product,47175.64,Completed
171,1044,3076,9333,261,2025-05-12,1,Quality Issue,56424.61,Completed
172,1045,3079,5647,422,2025-05-18,1,Changed Mind,36577.78,Completed
173,1047,3082,5633,69,2025-11-27,1,Wrong Product,32929.62,Completed
174,1050,3089,3868,532,2024-05-31,1,Changed Mind,60027.29,Completed
175,1050,3092,3868,328,2024-05-31,1,Late Delivery,71127.26,Completed
176,1054,3102,1661,266,2024-01-29,3,Late Delivery,29670.72,Completed
177,1060,3123,2916,552,2023-05-01,1,Late Delivery,36436.81,Completed
178,1063,3137,2048,207,2023-08-05,1,Wrong Product,83983.48,Completed
179,1068,3152,6614,383,2025-07-05,1,Quality Issue,37571.74,Completed
180,1070,3155,8005,283,2023-08-19,1,Wrong Product,68428.94,Completed
181,1075,3177,2089,164,2024-07-02,1,Product Not as Expected,9622.11,Completed
182,1076,3183,3582,857,2023-03-05,2,Size/Fit Issue,6064.78,Completed
183,1080,3196,6700,384,2025-12-14,1,Wrong Product,63602.85,Completed
184,1103,3254,5945,155,2025-03-31,1,Quality Issue,75355.28,Completed
185,1108,3274,2839,503,2024-02-18,1,Late Delivery,59379.17,Completed
186,1111,3284,1955,208,2025-08-14,1,Quality Issue,53391.84,Completed
187,1113,3294,7987,119,2024-11-06,3,Size/Fit Issue,187382.4,Completed
188,1119,3322,2861,78,2023-08-23,1,Quality Issue,40031.47,Completed
189,1121,3327,4010,503,2025-09-24,1,Late Delivery,59379.17,Completed
190,1122,3333,3339,566,2023-04-17,2,Wrong Product,107970.48,Completed
191,1130,3359,3713,440,2025-04-22,1,Quality Issue,53089.24,Completed
192,1139,3384,7820,879,2025-01-06,2,Size/Fit Issue,4934.38,Completed
193,1139,3385,7820,268,2025-01-06,1,Quality Issue,76721.52,Completed
194,1143,3394,1722,185,2024-11-15,1,Changed Mind,48632.58,Completed
195,1148,3409,2467,886,2024-03-15,3,Wrong Product,148005.54,Completed
196,1163,3454,6777,501,2025-12-15,1,Damaged Product,7509.52,Completed
197,1182,3506,6206,573,2024-02-20,1,Changed Mind,17211.31,Completed
198,1185,3513,1819,800,2023-04-15,1,Quality Issue,11619.45,Completed
199,1188,3524,9586,994,2025-11-04,2,Changed Mind,110937.2,Completed
200,1196,3558,344,361,2024-07-14,1,Quality Issue,39557.35,Completed
201,1202,3572,4358,784,2023-08-09,3,Size/Fit Issue,198841.35,Completed
202,1205,3580,4986,135,2023-04-15,1,Damaged Product,54446.43,Completed
203,1223,3628,4830,77,2025-03-21,1,Product Not as Expected,55961.89,Completed
204,1231,3656,3569,150,2025-06-06,4,Size/Fit Issue,91849.32,Completed
205,1259,3739,1479,176,2024-08-29,1,Product Not as Expected,4905.76,Completed
206,1271,3781,3281,102,2023-02-16,1,Size/Fit Issue,41669.88,Completed
207,1272,3782,7183,92,2023-10-03,1,Product Not as Expected,20472.41,Completed
208,1279,3806,5000,202,2023-10-29,1,Damaged Product,32355.55,Completed
209,1281,3813,6727,396,2024-11-15,1,Size/Fit Issue,49585.04,Completed
210,1286,3828,7706,81,2024-09-15,1,Changed Mind,9114.31,Completed
211,1290,3838,5012,390,2025-10-21,3,Damaged Product,176978.97,Completed
212,1297,3869,6203,116,2025-08-03,2,Product Not as Expected,169288.5,Completed
213,1298,3873,5368,462,2025-11-04,1,Quality Issue,42608.45,Completed
214,1300,3876,3212,97,2023-02-05,1,Quality Issue,6899.98,Completed
215,1302,3883,4520,418,2025-12-22,1,Product Not as Expected,6259.15,Completed
216,1305,3895,6239,992,2024-09-12,1,Damaged Product,26378.31,Completed
217,1320,3943,6520,2,2025-08-20,1,Late Delivery,76394.93,Completed
218,1326,3957,9346,572,2025-07-02,1,Product Not as Expected,16804.56,Completed
219,1327,3965,1874,732,2023-09-01,1,Late Delivery,61153.47,Completed
220,1330,3971,7738,359,2024-03-31,2,Wrong Product,67477.96,Completed
221,1348,4010,5940,328,2025-10-14,1,Product Not as Expected,71127.26,Completed
222,1350,4017,138,273,2023-05-21,1,Wrong Product,58733.95,Completed
223,1378,4087,4765,909,2025-09-28,4,Product Not as Expected,225681.88,Completed
224,1382,4103,3108,328,2024-04-28,1,Changed Mind,71127.26,Completed
225,1384,4112,407,766,2024-09-12,1,Late Delivery,48070.39,Completed
226,1392,4135,3012,839,2024-03-12,1,Quality Issue,27297.72,Completed
227,1399,4158,9771,477,2023-10-16,1,Size/Fit Issue,35861.59,Completed
228,1409,4190,5599,907,2025-11-29,1,Quality Issue,22748.66,Completed
229,1413,4206,6315,35,2024-02-09,1,Late Delivery,27954.63,Completed
230,1414,4211,4563,728,2023-10-06,1,Late Delivery,72056.51,Completed
231,1416,4216,7255,587,2024-09-23,2,Quality Issue,77371.46,Completed
232,1421,4237,1723,757,2023-12-09,1,Late Delivery,24510.12,Completed
233,1422,4238,2227,641,2025-09-30,2,Damaged Product,24831.68,Completed
234,1432,4263,6768,222,2024-12-09,1,Wrong Product,5223.93,Completed
235,1438,4283,118,25,2023-10-27,3,Product Not as Expected,90808.44,Completed
236,1438,4285,118,679,2023-10-27,1,Wrong Product,5822.9,Completed
237,1440,4293,1439,244,2023-11-18,1,Quality Issue,28864.17,Completed
238,1442,4300,8183,60,2024-09-30,2,Quality Issue,142126.28,Completed
239,1453,4325,4080,461,2025-05-27,1,Product Not as Expected,57237.0,Completed
240,1453,4327,4080,934,2025-05-27,1,Size/Fit Issue,13975.94,Completed
241,1464,4357,359,649,2023-03-06,1,Size/Fit Issue,52465.73,Completed
242,1477,4401,6979,350,2024-05-10,1,Damaged Product,35700.73,Completed
243,1483,4420,427,10,2023-09-21,1,Wrong Product,2841.22,Completed
244,1487,4441,1128,214,2023-09-21,1,Changed Mind,17174.56,Completed
245,1488,4442,6847,245,2024-03-27,2,Wrong Product,44317.62,Completed
246,1494,4464,1714,712,2025-10-16,1,Quality Issue,7038.7,Completed
247,1505,4497,6830,302,2024-05-04,3,Wrong Product,37746.9,Completed
248,1521,4535,9583,991,2024-03-22,3,Size/Fit Issue,48945.36,Completed
249,1527,4550,3037,619,2024-03-29,2,Wrong Product,73559.9,Completed
250,1534,4569,7853,55,2024-01-26,1,Product Not as Expected,49310.63,Completed
251,1534,4571,7853,555,2024-01-26,1,Damaged Product,39589.69,Completed
252,1541,4596,236,855,2023-10-11,1,Product Not as Expected,50092.69,Completed
253,1541,4599,236,248,2023-10-11,3,Wrong Product,4116.63,Completed
254,1557,4649,8197,48,2023-12-06,3,Damaged Product,72647.97,Completed
255,1565,4673,5741,684,2023-01-14,1,Quality Issue,24811.38,Completed
256,1567,4676,6551,243,2023-07-10,1,Wrong Product,19599.65,Completed
257,1582,4716,1409,907,2023-03-01,1,Damaged Product,22748.66,Completed
258,1584,4722,2757,176,2024-02-20,1,Wrong Product,4905.76,Completed
259,1591,4734,510,544,2025-02-09,1,Quality Issue,60516.54,Completed
260,1596,4744,8844,445,2024-09-03,1,Late Delivery,56192.08,Completed
261,1604,4771,89,445,2025-01-24,1,Damaged Product,56192.08,Completed
262,1607,4783,5382,732,2024-06-07,1,Size/Fit Issue,61153.47,Completed
263,1609,4790,8014,473,2025-02-26,1,Damaged Product,21534.86,Completed
264,1613,4801,950,537,2025-12-29,1,Quality Issue,53194.66,Completed
265,1615,4807,9732,512,2024-04-30,3,Late Delivery,24384.06,Completed
266,1617,4815,9010,160,2024-09-26,2,Damaged Product,119053.52,Completed
267,1617,4817,9010,708,2024-09-26,1,Damaged Product,27271.15,Completed
268,1619,4822,1617,539,2024-03-29,4,Size/Fit Issue,236774.36,Completed
269,1620,4827,3346,831,2025-10-16,1,Late Delivery,72426.36,Completed
270,1620,4829,3346,160,2025-10-16,1,Wrong Product,59526.76,Completed
271,1625,4848,1560,286,2025-01-21,2,Changed Mind,140236.32,Completed
272,1628,4856,4190,116,2023-08-19,1,Changed Mind,84644.25,Completed
273,1641,4894,2335,31,2024-08-23,1,Wrong Product,5278.2,Completed
274,1641,4896,2335,488,2024-08-23,1,Wrong Product,10814.51,Completed
275,1642,4897,5543,922,2024-05-03,1,Product Not as Expected,12986.88,Completed
276,1643,4899,4666,926,2023-11-09,1,Quality Issue,1457.04,Completed
277,1645,4909,5859,479,2025-12-18,1,Product Not as Expected,1432.07,Completed
278,1648,4921,2492,278,2024-01-10,1,Late Delivery,32103.08,Completed
279,1650,4925,1451,110,2025-06-22,1,Wrong Product,61600.35,Completed
280,1658,4951,9404,655,2023-11-19,1,Changed Mind,43388.81,Completed
281,1664,4969,5270,506,2025-01-29,1,Damaged Product,48220.73,Completed
282,1664,4972,5270,566,2025-01-29,1,Quality Issue,53985.24,Completed
283,1670,4986,1685,206,2023-11-14,1,Size/Fit Issue,9861.1,Completed
284,1670,4988,1685,661,2023-11-14,1,Size/Fit Issue,6801.17,Completed
285,1673,4994,9206,655,2025-10-13,1,Wrong Product,43388.81,Completed
286,1680,5017,9968,266,2024-04-29,2,Wrong Product,19780.48,Completed
287,1681,5020,3084,698,2023-05-18,2,Changed Mind,72753.2,Completed
288,1683,5031,9412,205,2024-11-25,1,Wrong Product,43935.78,Completed
289,1688,5048,3494,461,2023-09-04,1,Quality Issue,57237.0,Completed
290,1696,5076,2478,273,2024-08-08,3,Damaged Product,176201.85,Completed
291,1698,5086,4718,966,2024-09-20,1,Late Delivery,45203.42,Completed
292,1714,5138,4149,523,2024-11-20,1,Changed Mind,19573.08,Completed
293,1720,5157,3762,658,2024-12-17,1,Product Not as Expected,17062.2,Completed
294,1730,5187,8929,387,2023-06-11,1,Size/Fit Issue,52394.46,Completed
295,1732,5196,4411,509,2023-11-10,1,Quality Issue,19248.16,Completed
296,1741,5222,1579,484,2024-11-08,1,Late Delivery,62844.55,Completed
297,1755,5265,9408,679,2025-02-05,1,Damaged Product,5822.9,Completed
298,1768,5304,6183,960,2023-08-04,1,Damaged Product,63180.8,Completed
299,1779,5328,2996,668,2023-08-06,1,Wrong Product,68374.32,Completed
300,1779,5330,2996,422,2023-08-06,2,Product Not as Expected,73155.56,Completed
301,1781,5335,1383,970,2023-04-13,1,Size/Fit Issue,22703.56,Completed
302,1790,5368,518,871,2024-12-23,1,Size/Fit Issue,12164.93,Completed
303,1793,5375,4987,193,2025-10-27,2,Product Not as Expected,175970.1,Completed
304,1795,5384,3610,2,2024-01-07,2,Size/Fit Issue,152789.86,Completed
305,1803,5412,458,396,2024-06-10,1,Late Delivery,49585.04,Completed
306,1831,5496,6338,959,2023-08-12,1,Damaged Product,70639.35,Completed
307,1840,5521,5341,972,2023-10-15,4,Size/Fit Issue,121234.68,Completed
308,1842,5527,8152,427,2023-01-10,2,Changed Mind,86277.32,Completed
309,1849,5547,150,462,2023-06-03,3,Late Delivery,127825.35,Completed
310,1851,5550,3214,755,2025-08-13,1,Size/Fit Issue,18693.1,Completed
311,1854,5558,7256,833,2023-12-10,1,Product Not as Expected,49984.05,Completed
312,1862,5579,9229,115,2025-03-25,1,Late Delivery,15951.35,Completed
313,1865,5585,8350,143,2024-11-22,1,Quality Issue,57065.25,Completed
314,1866,5590,4731,596,2023-05-12,1,Late Delivery,18491.15,Completed
315,1868,5594,9058,674,2023-11-12,2,Wrong Product,88416.38,Completed
316,1870,5602,8351,509,2025-08-03,1,Wrong Product,19248.16,Completed
317,1887,5652,6139,713,2023-09-23,2,Product Not as Expected,78326.64,Completed
318,1889,5655,2691,61,2025-12-06,1,Late Delivery,55328.05,Completed
319,1893,5664,6044,341,2025-01-11,1,Product Not as Expected,11306.84,Completed
320,1899,5684,6096,658,2025-06-14,1,Late Delivery,17062.2,Completed
321,1916,5735,7701,508,2025-12-11,1,Changed Mind,66003.7,Completed
322,1917,5737,339,589,2025-12-26,1,Changed Mind,60461.14,Completed
323,1919,5743,5683,266,2025-11-14,2,Changed Mind,19780.48,Completed
324,1925,5765,6307,660,2023-01-27,1,Quality Issue,24698.97,Completed
325,1925,5766,6307,49,2023-01-27,2,Late Delivery,104638.42,Completed
326,1929,5780,826,773,2025-01-14,1,Changed Mind,10661.83,Completed
327,1931,5787,3813,688,2024-05-25,1,Quality Issue,57528.79,Completed
328,1946,5828,4401,913,2025-09-24,1,Changed Mind,29739.74,Completed
329,1947,5832,1329,706,2025-10-05,1,Size/Fit Issue,39123.19,Completed
330,1956,5863,1845,206,2024-06-16,2,Late Delivery,19722.2,Completed
331,1956,5866,1845,684,2024-06-16,3,Quality Issue,74434.14,Completed
332,1961,5879,1954,920,2025-11-15,1,Wrong Product,34221.06,Completed
333,1969,5904,5565,332,2024-11-19,1,Wrong Product,48366.16,Completed
334,1989,5959,6600,64,2023-07-04,1,Quality Issue,12866.2,Completed
335,2006,6013,9274,293,2025-11-15,1,Size/Fit Issue,14013.61,Completed
336,2013,6030,2847,394,2023-08-03,1,Late Delivery,42580.81,Completed
337,2014,6034,7640,883,2024-10-27,3,Late Delivery,212738.22,Completed
338,2024,6065,7494,566,2023-03-16,1,Quality Issue,53985.24,Completed
339,2026,6074,459,833,2025-04-05,1,Product Not as Expected,49984.05,Completed
340,2027,6076,2607,193,2023-05-27,1,Product Not as Expected,87985.05,Completed
341,2033,6090,7821,665,2024-10-29,3,Size/Fit Issue,31774.47,Completed
342,2086,6245,7239,614,2025-01-09,1,Product Not as Expected,54167.99,Completed
343,2087,6247,3393,621,2025-07-12,2,Product Not as Expected,19870.22,Completed
344,2087,6249,3393,224,2025-07-12,1,Damaged Product,29142.1,Completed
345,2096,6276,9844,555,2023-02-14,1,Late Delivery,39589.69,Completed
346,2098,6284,3221,297,2024-01-13,1,Product Not as Expected,9484.23,Completed
347,2101,6292,8393,344,2023-12-06,1,Changed Mind,4082.01,Completed
348,2102,6296,1163,248,2024-01-15,1,Quality Issue,1372.21,Completed
349,2110,6318,7675,743,2024-11-02,1,Late Delivery,22075.79,Completed
350,2112,6321,4809,728,2024-07-28,1,Size/Fit Issue,72056.51,Completed
351,2131,6366,3031,451,2023-01-12,1,Damaged Product,17488.8,Completed
352,2134,6373,6335,590,2025-05-29,1,Wrong Product,32485.63,Completed
353,2134,6374,6335,779,2025-05-29,3,Product Not as Expected,156001.98,Completed
354,2141,6396,3354,429,2024-12-21,2,Late Delivery,26986.84,Completed
355,2141,6398,3354,135,2024-12-21,1,Damaged Product,54446.43,Completed
356,2145,6408,8118,877,2023-04-25,1,Damaged Product,30569.83,Completed
357,2148,6417,8622,462,2023-02-23,1,Wrong Product,42608.45,Completed
358,2148,6419,8622,502,2023-02-23,4,Damaged Product,199724.08,Completed
359,2159,6456,9822,292,2023-03-07,2,Product Not as Expected,111195.16,Completed
360,2164,6470,9955,385,2024-02-13,1,Product Not as Expected,51195.51,Completed
361,2165,6474,8328,124,2024-11-16,2,Changed Mind,64506.2,Completed
362,2170,6486,7063,240,2024-11-22,2,Quality Issue,28998.1,Completed
363,2171,6490,4210,938,2025-09-10,1,Size/Fit Issue,41472.77,Completed
364,2175,6500,380,7,2025-04-04,1,Late Delivery,35843.35,Completed
365,2180,6520,7526,561,2024-01-19,1,Late Delivery,17547.13,Completed
